"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
102,"44",583.9,630.5,34,591.6,636.5,31,527.2,593.8,39.9,523.3,586.9,43.8,575.5,606.6,99.3,573.9,601,104.7,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,545.1,599.7,66.4,537,593.3,65.2
103,"44",582.9,629.4,33.8,590.5,635.5,30.7,527,593.8,39.8,523,586.8,43.7,575,606.2,99.3,573.4,600.5,104.6,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,544.7,599.4,66.4,536.6,593,65.2
104,"44",581.7,628.3,33.8,589.4,634.4,30.6,526.9,593.7,39.7,522.8,586.7,43.5,574.5,605.7,99.3,572.8,600,104.7,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,544.2,599.1,66.4,536.2,592.7,65.1
105,"44",580.6,627.2,33.8,588.3,633.3,30.6,526.8,593.6,39.6,522.7,586.6,43.3,573.9,605.2,99.4,572.3,599.5,104.7,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,543.8,598.7,66.4,535.8,592.4,65.1
106,"44",579.6,626.2,33.9,587.2,632.3,30.6,526.7,593.5,39.5,522.5,586.5,43.2,573.4,604.7,99.6,571.8,599,104.9,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,543.4,598.4,66.5,535.4,592.1,65.2
107,"44",578.6,625.1,33.9,586.1,631.2,30.6,526.6,593.5,39.5,522.4,586.5,43.1,572.9,604.3,99.8,571.3,598.6,105,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,543.1,598.1,66.6,535.1,591.9,65.2
108,"44",577.6,624,33.9,585.1,630.2,30.6,526.7,593.6,39.4,522.4,586.5,43.1,572.5,603.9,99.9,570.9,598.2,105.2,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,542.9,598,66.7,534.8,591.7,65.3
109,"44",576.6,623,34,584,629,30.5,526.7,593.6,39.4,522.4,586.6,43,572.1,603.6,100.1,570.5,597.9,105.4,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,542.6,597.8,66.8,534.6,591.6,65.3
110,"44",575.8,622.2,34,583.2,628.2,30.4,526.7,593.7,39.3,522.4,586.6,42.9,571.8,603.4,100.2,570.2,597.7,105.5,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,542.5,597.7,66.9,534.4,591.5,65.3
111,"44",575.5,621.9,34.1,582.9,627.9,30.4,526.8,593.8,39.2,522.4,586.6,42.8,571.6,603.3,100.3,569.9,597.6,105.6,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,542.3,597.7,66.9,534.3,591.5,65.3
112,"44",575.3,621.9,34.1,582.7,627.7,30.4,526.9,593.9,39,522.4,586.8,42.6,571.3,603.2,100.3,569.7,597.5,105.6,481.1,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,542.3,597.7,66.8,534.2,591.6,65.2
113,"44",575.2,621.8,34.1,582.5,627.7,30.4,527.1,594.2,38.8,522.6,587.1,42.5,571.2,603.2,100.3,569.5,597.5,105.7,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.3,597.9,66.8,534.3,591.7,65.1
114,"44",575.2,621.8,34.2,582.5,627.7,30.5,527.3,594.5,38.7,522.7,587.4,42.4,571,603.2,100.4,569.4,597.5,105.8,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.3,598,66.8,534.3,591.9,65.1
115,"44",575.1,621.9,34.3,582.5,627.7,30.6,527.5,594.8,38.7,522.9,587.6,42.3,570.9,603.2,100.6,569.2,597.5,105.9,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.4,598.2,66.8,534.3,592.1,65.1
116,"44",575.1,622,34.4,582.5,627.8,30.7,527.7,595,38.7,523,587.9,42.3,570.8,603.2,100.7,569.1,597.5,106.1,481.1,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.4,598.4,66.9,534.4,592.2,65.1
117,"44",575.2,622.2,34.5,582.5,627.9,30.9,527.8,595.3,38.7,523.1,588.1,42.4,570.7,603.3,101,569,597.6,106.4,481,548.1,-2.3,489.2,554,-2,554.6,773.6,43.3,544.8,766.5,40.9,542.5,598.6,67,534.5,592.5,65.3
118,"44",575.3,622.5,34.8,582.6,628.1,31.2,528,595.6,38.9,523.3,588.4,42.6,570.7,603.5,101.3,569,597.8,106.7,481,548.1,-2.3,489.2,554,-1.9,554.6,773.6,43.3,544.8,766.5,40.9,542.6,598.8,67.2,534.6,592.8,65.4
119,"44",575.4,622.8,35.2,582.8,628.4,31.7,528.2,595.9,39.1,523.5,588.7,42.8,570.7,603.7,101.7,568.9,598,107.1,481,548.1,-2.3,489.2,553.9,-1.9,554.5,773.5,43.3,544.8,766.5,40.9,542.7,599.1,67.4,534.7,593.1,65.7
120,"44",575.5,623.3,35.9,582.9,628.8,32.3,528.5,596.2,39.5,523.7,589.1,43.2,570.7,603.9,102.2,568.9,598.2,107.7,481,548.1,-2.3,489.2,553.9,-1.9,554.5,773.5,43.3,544.8,766.5,40.9,542.9,599.4,67.8,534.9,593.4,66.1
121,"44",575.7,623.8,36.7,583,629.3,33.1,528.7,596.7,40.1,523.9,589.6,43.8,570.7,604.1,103,568.9,598.4,108.4,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,543,599.8,68.5,535,593.8,66.8
122,"44",575.7,624.3,37.8,583.1,629.7,34.2,529,597.3,41,524.2,590.2,44.7,570.7,604.4,103.9,568.9,598.6,109.4,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,543.2,600.2,69.4,535.2,594.3,67.7
123,"44",575.7,624.8,39.1,583.1,630.3,35.4,529.2,598,42.1,524.4,590.9,45.8,570.7,604.7,105.1,568.9,598.9,110.5,481,548.1,-2.3,489.2,553.9,-2,554.5,773.5,43.3,544.8,766.5,40.9,543.3,600.7,70.6,535.3,594.8,68.8
124,"44",575.7,625.4,40.5,583,630.9,36.9,529.3,598.5,43.5,524.4,591.4,47.1,570.6,605,106.4,568.9,599.2,111.7,481,548.1,-2.3,489.2,553.9,-2,554.6,773.5,43.3,544.8,766.5,40.9,543.3,601.1,71.9,535.3,595.2,70.1
125,"44",575.6,626,42.1,582.9,631.5,38.5,529.2,599,45.1,524.4,591.8,48.6,570.6,605.3,107.8,568.8,599.5,113.1,481,548.1,-2.3,489.2,553.9,-2,554.5,773.6,43.3,544.8,766.5,40.9,543.2,601.5,73.4,535.2,595.5,71.6
126,"44",575.5,626.8,44,582.8,632.3,40.3,529.1,599.6,46.8,524.3,592.3,50.3,570.6,605.7,109.4,568.8,599.9,114.6,481,548.1,-2.3,489.2,553.9,-1.9,554.5,773.6,43.3,544.8,766.5,40.9,543.1,601.9,75.2,535.1,595.9,73.2
